Model,Accuracy,Max_depth,N_estimators,Offense,Endurance,Mobility,Scoring,Support,Mobility_Offense
RandomForest,0.5789,5,100,0.1527,0.1574,0.2118,0.1289,0.1576,0.1915
XGBoost,0.5263,5,100,0.1330000013113021,0.1231999993324279,0.3467999994754791,0.131300002336502,0.1664000004529953,0.099200002849102
LightGBM,0.6316,5,100,52.0,77.0,42.0,30.0,70.0,33.0
RandomForest,0.5789,5,100,0.1527,0.1574,0.2118,0.1289,0.1576,0.1915
XGBoost,0.5263,5,100,0.1330000013113021,0.1231999993324279,0.3467999994754791,0.131300002336502,0.1664000004529953,0.099200002849102
LightGBM,0.6316,5,100,52.0,77.0,42.0,30.0,70.0,33.0
RandomForest,0.5789,5,100,0.1527,0.1574,0.2118,0.1289,0.1576,0.1915
XGBoost,0.5263,5,100,0.1330000013113021,0.1231999993324279,0.3467999994754791,0.131300002336502,0.1664000004529953,0.099200002849102
LightGBM,0.6316,5,100,52.0,77.0,42.0,30.0,70.0,33.0
RandomForest,0.5789,5,100,0.1527,0.1574,0.2118,0.1289,0.1576,0.1915
XGBoost,0.5263,5,100,0.1330000013113021,0.1231999993324279,0.3467999994754791,0.131300002336502,0.1664000004529953,0.099200002849102
LightGBM,0.6316,5,100,52.0,77.0,42.0,30.0,70.0,33.0
RandomForest,0.5789,5,100,0.1527,0.1574,0.2118,0.1289,0.1576,0.1915
XGBoost,0.5263,5,100,0.13300000131130219,0.12319999933242798,0.3467999994754791,0.13130000233650208,0.1664000004529953,0.09920000284910202
LightGBM,0.6316,5,100,52.0,77.0,42.0,30.0,70.0,33.0
